,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,quarter_sold,year_sold
0,538000.0,3,2.25,2570,7242,2.0,0.0,0.0,3,7,2170,400.0,1951,1991.0,98125,47.721000000000004,-122.319,1690,7639,4,2014
1,180000.0,2,1.0,770,10000,1.0,0.0,0.0,3,6,770,0.0,1933,0.0,98028,47.7379,-122.23299999999999,2720,8062,1,2015
2,604000.0,4,3.0,1960,5000,1.0,0.0,0.0,5,7,1050,910.0,1965,0.0,98136,47.5208,-122.39299999999999,1360,5000,4,2014
3,510000.0,3,2.0,1680,8080,1.0,0.0,0.0,3,8,1680,0.0,1987,0.0,98074,47.6168,-122.045,1800,7503,1,2015
4,1230000.0,4,4.5,5420,101930,1.0,0.0,0.0,3,11,3890,1530.0,2001,0.0,98053,47.6561,-122.005,4760,101930,2,2014
5,257500.0,3,2.25,1715,6819,2.0,0.0,0.0,3,7,1715,0.0,1995,0.0,98003,47.3097,-122.32700000000001,2238,6819,2,2014
6,291850.0,3,1.5,1060,9711,1.0,0.0,0.0,3,7,1060,0.0,1963,0.0,98198,47.4095,-122.315,1650,9711,1,2015
7,229500.0,3,1.0,1780,7470,1.0,0.0,0.0,3,7,1050,730.0,1960,0.0,98146,47.5123,-122.337,1780,8113,2,2015
8,323000.0,3,2.5,1890,6560,2.0,0.0,0.0,3,7,1890,0.0,2003,0.0,98038,47.3684,-122.031,2390,7570,1,2015
9,468000.0,2,1.0,1160,6000,1.0,0.0,0.0,4,7,860,300.0,1942,0.0,98115,47.69,-122.292,1330,6000,2,2014
10,310000.0,3,1.0,1430,19901,1.5,0.0,0.0,4,7,1430,0.0,1927,0.0,98028,47.7558,-122.229,1780,12697,2,2014
11,400000.0,3,1.75,1370,9680,1.0,0.0,0.0,4,7,1370,0.0,1977,0.0,98074,47.6127,-122.045,1370,10208,4,2014
12,530000.0,5,2.0,1810,4850,1.5,0.0,0.0,3,7,1810,0.0,1900,0.0,98107,47.67,-122.39399999999999,1360,4850,1,2015
13,650000.0,4,3.0,2950,5000,2.0,0.0,3.0,3,9,1980,970.0,1979,0.0,98126,47.5714,-122.375,2140,4000,1,2015
14,395000.0,3,2.0,1890,14040,2.0,0.0,0.0,3,7,1890,0.0,1994,0.0,98019,47.7277,-121.962,1890,14018,3,2014
15,485000.0,4,1.0,1600,4300,1.5,0.0,0.0,4,7,1600,0.0,1916,0.0,98103,47.6648,-122.34299999999999,1610,4300,2,2014
16,189000.0,2,1.0,1200,9850,1.0,0.0,0.0,4,7,1200,0.0,1921,0.0,98002,47.3089,-122.21,1060,5095,4,2014
17,230000.0,3,1.0,1250,9774,1.0,0.0,0.0,4,7,1250,0.0,1969,0.0,98003,47.3343,-122.306,1280,8850,2,2015
18,385000.0,4,1.75,1620,4980,1.0,0.0,0.0,4,7,860,760.0,1947,0.0,98133,47.7025,-122.34100000000001,1400,4980,2,2014
19,2000000.0,3,2.75,3050,44867,1.0,0.0,4.0,3,9,2330,720.0,1968,0.0,98040,47.5316,-122.23299999999999,4110,20336,3,2014
20,285000.0,5,2.5,2270,6300,2.0,0.0,0.0,3,8,2270,0.0,1995,0.0,98092,47.3266,-122.169,2240,7005,3,2014
21,329000.0,3,2.25,2450,6500,2.0,0.0,0.0,4,8,2450,0.0,1985,0.0,98030,47.3739,-122.17200000000001,2200,6865,4,2014
22,233000.0,3,2.0,1710,4697,1.5,0.0,0.0,5,6,1710,0.0,1941,0.0,98002,47.3048,-122.21799999999999,1030,4705,4,2014
23,937000.0,3,1.75,2450,2691,2.0,0.0,0.0,3,8,1750,700.0,1915,0.0,98119,47.6386,-122.36,1760,3573,2,2014
24,667000.0,3,1.0,1400,1581,1.5,0.0,0.0,5,8,1400,0.0,1909,0.0,98112,47.6221,-122.314,1860,3861,4,2014
