,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_above,lat,long,sqft_living15,sqft_lot15,total_sqft,total_sqft_inside,age_when_sold
0,538000.0,3,2.25,2570,7242,2.0,2170,47.721000000000004,-122.319,1690,7639,9812,2570.0,63
1,571000.0,4,2.0,2750,7807,1.5,2250,47.7168,-122.287,1510,7807,10557,2750.0,98
2,315000.0,3,1.0,960,6634,1.0,960,47.7264,-122.31,1570,7203,7594,960.0,62
3,382500.0,2,1.0,1190,4440,1.0,1190,47.7135,-122.287,1060,5715,5630,1190.0,33
4,425000.0,3,1.75,2500,6840,1.0,1300,47.7222,-122.32,1580,8691,9340,2500.0,57
5,450000.0,3,1.75,1640,13500,1.0,1110,47.7164,-122.304,1770,12600,15140,1640.0,74
7,425000.0,3,2.25,1820,8814,1.0,1280,47.7162,-122.309,1810,7515,10634,1820.0,48
8,312000.0,3,1.5,1255,1374,3.0,1255,47.7145,-122.311,1307,1232,2629,1255.0,10
9,730000.0,6,2.25,2660,13579,2.0,2660,47.7142,-122.286,1120,8242,16239,2660.0,78
11,601000.0,3,1.75,1330,6743,1.0,1330,47.7012,-122.286,2600,7350,8073,1330.0,57
12,397500.0,3,1.25,1510,13737,1.0,810,47.7289,-122.28299999999999,2560,10202,15247,1510.0,54
13,645000.0,4,2.0,2780,11583,1.0,1190,47.7293,-122.28399999999999,2580,10241,14363,2780.0,60
14,530000.0,3,2.5,1930,7214,2.0,1930,47.7191,-122.309,1930,7266,9144,1930.0,9
15,475000.0,3,1.75,1700,8432,1.0,1230,47.7221,-122.31700000000001,1800,7842,10132,1700.0,37
16,528000.0,4,2.25,1910,8005,1.0,1280,47.7259,-122.29799999999999,1860,8010,9915,1910.0,54
17,360000.0,3,1.0,1050,9206,1.5,1050,47.7071,-122.301,1380,6384,10256,1050.0,60
18,353000.0,3,1.0,1350,7740,1.0,860,47.7098,-122.291,1130,7740,9090,1350.0,67
19,332500.0,3,1.5,1500,6332,1.0,1500,47.7274,-122.31200000000001,1500,6337,7832,1500.0,62
20,632000.0,6,2.5,2560,8320,1.0,1370,47.7021,-122.287,2360,7800,10880,2560.0,53
21,520000.0,4,3.5,2680,10000,2.0,2040,47.726000000000006,-122.296,1530,8000,12680,2680.0,72
22,359000.0,4,1.5,1890,6052,1.0,1890,47.7055,-122.3,1510,6072,7942,1890.0,59
23,549500.0,3,1.75,1620,8438,1.0,1620,47.703,-122.281,2040,9450,10058,1620.0,54
24,326000.0,3,2.5,1782,1577,3.0,1782,47.7114,-122.301,1550,1744,3359,1782.0,14
25,400000.0,3,1.0,1250,7157,1.0,1250,47.7323,-122.304,1300,6796,8407,1250.0,71
26,375000.0,3,1.75,1330,9417,1.0,710,47.7231,-122.301,1690,7937,10747,1330.0,78
27,387500.0,2,1.0,870,6126,1.0,870,47.7024,-122.322,1620,6126,6996,870.0,77
28,429000.0,3,3.25,2210,3600,2.0,1820,47.7031,-122.279,2010,6690,5810,2210.0,19
29,400000.0,4,2.0,1350,7255,1.0,1350,47.7287,-122.31,1050,7288,8605,1350.0,55
30,417000.0,4,2.25,2300,7700,1.0,1380,47.7137,-122.322,2010,8820,10000,2300.0,55
31,398500.0,3,1.0,1200,15960,1.5,1200,47.7163,-122.29899999999999,1120,7800,17160,1200.0,70
32,521000.0,3,2.0,1870,5455,1.0,1060,47.7029,-122.29700000000001,1870,7435,7325,1870.0,88
33,365000.0,2,1.0,990,9223,1.0,990,47.72,-122.32,1230,7244,10213,990.0,65
34,467000.0,3,1.0,1220,8040,1.5,1220,47.7133,-122.30799999999999,1360,8040,9260,1220.0,50
35,398000.0,4,1.0,1430,6240,1.5,1430,47.7272,-122.311,1410,6240,7670,1430.0,62
